animal_id,date_of_birth,name,datetime,monthyear,outcome_type,outcome_subtype,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,age_days
A731584,2016-07-24,Unknown,2016-08-25,08-2016,Transfer,Partner,Dog,Intact Male,4 weeks,Plott Hound Mix,Black,32
A731585,2016-07-24,Unknown,2016-08-25,08-2016,Transfer,Partner,Dog,Intact Female,4 weeks,Plott Hound Mix,Black/White,32
A731576,2016-07-24,Unknown,2016-08-25,08-2016,Transfer,Partner,Dog,Intact Male,4 weeks,Plott Hound Mix,Chocolate,32
A731577,2016-07-24,Unknown,2016-08-25,08-2016,Transfer,Partner,Dog,Intact Female,4 weeks,Plott Hound Mix,Chocolate,32
A731578,2016-07-24,Unknown,2016-08-25,08-2016,Transfer,Partner,Dog,Intact Female,4 weeks,Plott Hound Mix,Chocolate/White,32
A731579,2016-07-24,Unknown,2016-08-25,08-2016,Transfer,Partner,Dog,Intact Female,4 weeks,Plott Hound Mix,Black,32
A731580,2016-07-24,Unknown,2016-08-25,08-2016,Transfer,Partner,Dog,Intact Male,4 weeks,Plott Hound Mix,Black,32
A731581,2016-07-24,Unknown,2016-08-25,08-2016,Transfer,Partner,Dog,Intact Female,4 weeks,Plott Hound Mix,Black,32
A731582,2016-07-24,Unknown,2016-08-25,08-2016,Transfer,Partner,Dog,Intact Female,4 weeks,Plott Hound Mix,Black,32
A730731,2015-07-09,*Dixie,2016-08-25,08-2016,Transfer,Partner,Dog,Intact Female,1 year,Plott Hound Mix,Brown Brindle,413
A710058,2013-08-16,Midnight,2016-08-25,08-2016,Transfer,Partner,Dog,Spayed Female,3 years,Labrador Retriever/Pit Bull,Black/White,1105
A732515,2016-06-17,*Teleah,2016-08-26,08-2016,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby,70
A732880,2009-08-14,*Grace,2016-08-26,08-2016,Transfer,Partner,Dog,Intact Female,7 years,Pit Bull Mix,Blue/White,2569
A731012,2014-07-14,Sheba,2016-08-26,08-2016,Transfer,Partner,Dog,Intact Female,2 years,Mastiff Mix,Brown/Black,774
A733394,2016-06-10,Unknown,2016-08-26,08-2016,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,77
A728009,2016-04-14,Bella,2016-08-26,08-2016,Transfer,Partner,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Blue Tabby,134
A730540,2015-07-06,Kane,2016-08-27,08-2016,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Fawn/White,418
A729648,2011-06-21,*Jules,2016-08-28,08-2016,Transfer,Partner,Dog,Neutered Male,5 years,Pit Bull Mix,Blue/White,1895
A733588,2016-07-17,Unknown,2016-08-28,08-2016,Transfer,Partner,Dog,Intact Female,1 month,Australian Cattle Dog Mix,Black/White,42
