animal_id,date_of_birth,name,datetime,monthyear,outcome_type,outcome_subtype,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,age_days
A668305,2012-12-01,Unknown,2013-12-02,12-2013,Transfer,Partner,Other,Unknown,1 year,Turtle Mix,Brown/Yellow,366
A673335,2012-02-22,Unknown,2014-02-22,02-2014,Euthanasia,Suffering,Other,Unknown,2 years,Raccoon,Black/Gray,731
A675999,2013-04-03,Unknown,2014-04-07,04-2014,Transfer,Partner,Other,Unknown,1 year,Turtle Mix,Green,369
A680855,2014-05-25,Unknown,2014-06-10,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black,16
A680857,2014-05-25,Unknown,2014-06-10,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black,16
A680858,2014-05-25,Unknown,2014-06-10,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black,16
A680859,2014-05-25,Unknown,2014-06-10,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black,16
A680860,2014-05-25,Unknown,2014-06-10,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black,16
A680861,2014-05-25,Unknown,2014-06-10,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black,16
A680862,2014-05-25,Unknown,2014-06-10,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black,16
A680863,2014-05-25,Unknown,2014-06-10,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black,16
A683090,2014-04-22,Jenny Tyson,2014-07-11,07-2014,Adoption,,Dog,Spayed Female,2 months,Black Mouth Cur Mix,Brown/Black,80
A683591,2014-06-12,Unknown,2014-07-12,07-2014,Transfer,Partner,Bird,Unknown,4 weeks,Catbird Mix,Brown,30
A683693,2014-06-29,Unknown,2014-07-14,07-2014,Transfer,Partner,Bird,Unknown,2 weeks,Grackle Mix,Black/White,15
A686222,2014-03-13,Unknown,2014-08-20,08-2014,Transfer,Partner,Bird,Intact Male,5 months,Silkie Mix,Black,160
A688001,2014-07-12,Unknown,2014-09-16,09-2014,Transfer,Partner,Bird,Unknown,2 months,Bantam Mix,White,66
A688002,2014-07-12,Unknown,2014-09-16,09-2014,Transfer,Partner,Bird,Unknown,2 months,Bantam Mix,White,66
A687621,2014-03-07,Unknown,2014-09-16,09-2014,Transfer,Partner,Bird,Unknown,6 months,Chicken Mix,Brown,193
A687622,2014-03-07,Unknown,2014-09-16,09-2014,Transfer,Partner,Bird,Unknown,6 months,Chicken Mix,Brown,193
A688000,2014-07-12,Unknown,2014-09-17,09-2014,Transfer,Partner,Bird,Unknown,2 months,Bantam Mix,White,67
A693750,2013-12-14,*Stetson,2014-12-23,12-2014,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Brown/White,374
A694113,2013-06-20,Rooster,2014-12-23,12-2014,Transfer,Partner,Bird,Intact Male,1 year,Chicken Mix,Brown/Black,551
A694191,2014-04-22,Unknown,2014-12-27,12-2014,Transfer,Partner,Dog,Intact Male,8 months,Shiba Inu Mix,Tan,249
A694447,2014-12-07,Unknown,2014-12-29,12-2014,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby,22
A694454,2014-12-07,Unknown,2014-12-29,12-2014,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Longhair Mix,Blue Tabby,22
A694136,2009-01-02,Hershey,2014-12-31,12-2014,Return to Owner,,Dog,Neutered Male,5 years,Cocker Spaniel Mix,Chocolate,2189
A604679,2008-12-27,Snowball,2015-01-01,01-2015,Transfer,Partner,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Cream,2196
A694566,2014-12-25,Unknown,2015-01-02,01-2015,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Black/White,8
A694592,2013-12-31,*Henry,2015-01-07,01-2015,Transfer,Partner,Other,Unknown,1 year,Mouse Mix,Gray/Black,372
A694289,2013-12-24,Osiris,2015-01-08,01-2015,Return to Owner,,Dog,Neutered Male,1 year,American Pit Bull Terrier Mix,Black/White,380
A694726,2011-08-31,Giselle,2015-01-12,01-2015,Transfer,Partner,Dog,Spayed Female,3 years,Golden Retriever/Labrador Retriever,Gold,1230
A695037,2012-01-07,*Nellie,2015-01-12,01-2015,Transfer,Partner,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Black/White,1101
A695070,2014-01-08,David,2015-01-12,01-2015,Return to Owner,,Cat,Neutered Male,1 year,Russian Blue Mix,Blue,369
A695071,2012-01-08,*Rebel,2015-01-12,01-2015,Transfer,Partner,Dog,Neutered Male,3 years,Miniature Pinscher,Red,1100
A554865,2008-09-08,Pepe,2015-01-12,01-2015,Transfer,Partner,Dog,Neutered Male,6 years,Chihuahua Shorthair,White,2317
A693975,2013-12-18,*Roscoe,2015-01-27,01-2015,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Fawn/White,405
A696368,2013-02-03,Cosmo,2015-02-05,02-2015,Return to Owner,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Yellow/White,732
A696346,2012-02-03,Valentine,2015-02-09,02-2015,Transfer,Partner,Dog,Intact Female,3 years,Havanese Mix,White/Gray,1102
A696953,2002-02-15,Disco,2015-02-16,02-2015,Return to Owner,,Dog,Neutered Male,13 years,Chihuahua Shorthair,Tan,4749
A697223,2001-02-19,Lili,2015-02-20,02-2015,Return to Owner,,Dog,Spayed Female,14 years,Rat Terrier Mix,Tricolor,5114
A697599,2014-12-25,*Jasper,2015-02-28,02-2015,Transfer,Partner,Cat,Intact Female,2 months,Domestic Longhair Mix,Torbie,65
A693369,2012-12-06,Cupcake,2015-03-11,03-2015,Adoption,Foster,Dog,Spayed Female,2 years,Pekingese Mix,White,825
A698568,2012-03-13,Bella,2015-03-14,03-2015,Adoption,,Dog,Intact Female,3 years,Chihuahua Shorthair,Sable,1096
A696733,2013-02-11,Unknown,2015-03-21,03-2015,Return to Owner,,Other,Unknown,2 years,Lizard Mix,Tan,768
A699447,2014-09-27,Unknown,2015-03-27,03-2015,Died,,Other,Unknown,5 months,Bat Mix,Gray,181
A699599,2003-03-30,Duke,2015-03-30,03-2015,Return to Owner,,Dog,Neutered Male,12 years,Labrador Retriever Mix,Black,4383
A699601,2013-03-30,Remi,2015-03-30,03-2015,Return to Owner,,Dog,Spayed Female,2 years,Basset Hound Mix,White/Brown,730
A699665,2014-03-31,Lemon,2015-04-01,04-2015,Transfer,Partner,Bird,Unknown,1 year,Parakeet Mix,Yellow,366
A699767,2015-02-08,Bluebonnet,2015-04-02,04-2015,Transfer,Partner,Dog,Intact Male,1 month,Shih Tzu Mix,White,53
A699768,2015-02-08,Daffodil,2015-04-02,04-2015,Transfer,Partner,Dog,Intact Female,1 month,Shih Tzu Mix,Tan,53
A699769,2015-02-08,Roger Rabbit,2015-04-02,04-2015,Transfer,Partner,Dog,Intact Male,1 month,Shih Tzu Mix,White/Black,53
A699770,2015-02-08,Latte,2015-04-02,04-2015,Transfer,Partner,Dog,Intact Male,1 month,Shih Tzu Mix,White/Chocolate,53
A699771,2015-02-08,Unknown,2015-04-02,04-2015,Transfer,Partner,Dog,Intact Male,1 month,Shih Tzu Mix,Cream/Black,53
A699779,2013-04-02,Unknown,2015-04-02,04-2015,Transfer,Partner,Dog,Spayed Female,2 years,Shih Tzu,Tan,730
A699780,2013-04-02,Unknown,2015-04-02,04-2015,Transfer,Partner,Dog,Spayed Female,2 years,Shih Tzu Mix,Black,730
A699781,2014-04-02,Unknown,2015-04-02,04-2015,Transfer,Partner,Dog,Spayed Female,1 year,Shih Tzu Mix,White/Gray,365
A699782,2012-04-02,Unknown,2015-04-02,04-2015,Transfer,Partner,Dog,Intact Female,3 years,Shih Tzu Mix,White,1095
A699783,2014-11-02,Penny Lou,2015-04-02,04-2015,Transfer,Partner,Dog,Intact Female,4 months,Shih Tzu,White/Brown,151
A699790,2013-10-02,Tulip,2015-04-02,04-2015,Transfer,Partner,Dog,Intact Female,1 year,Shih Tzu,Chocolate/White,547
A699791,2015-03-02,Jessica,2015-04-02,04-2015,Transfer,Partner,Dog,Intact Female,4 weeks,Shih Tzu,Black,31
A699792,2015-02-08,Peter Cotton,2015-04-02,04-2015,Transfer,Partner,Dog,Intact Male,1 month,Lhasa Apso,Black/White,53
A699357,2014-10-16,*Finn,2015-04-02,04-2015,Adoption,,Dog,Neutered Male,5 months,Australian Cattle Dog Mix,White/Red Tick,168
A699358,2014-10-16,*Lacey,2015-04-03,04-2015,Adoption,,Dog,Spayed Female,5 months,Australian Cattle Dog Mix,White/Brown Brindle,169
A699797,2014-06-03,Unknown,2015-04-08,04-2015,Transfer,Partner,Dog,Neutered Male,10 months,Shih Tzu,White/Brown Brindle,309
A699917,2015-02-04,Unknown,2015-04-08,04-2015,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White,63
A700034,2010-04-06,Unknown,2015-04-10,04-2015,Transfer,Partner,Dog,Spayed Female,5 years,Miniature Schnauzer Mix,Buff/Gray,1830
A700035,2014-04-06,Unknown,2015-04-10,04-2015,Transfer,Partner,Dog,Spayed Female,1 year,Miniature Schnauzer Mix,Black/Tan,369
A698408,2006-06-11,Isabella,2015-04-10,04-2015,Adoption,Foster,Dog,Spayed Female,8 years,Dachshund Mix,Blue Merle/Black,3225
A699912,2014-04-04,*Fiona,2015-04-13,04-2015,Transfer,Partner,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black,374
A699937,2007-04-04,*Gordo,2015-04-13,04-2015,Transfer,Partner,Dog,Neutered Male,8 years,Labrador Retriever Mix,Chocolate,2931
A700190,2012-04-09,Unknown,2015-04-14,04-2015,Transfer,Partner,Other,Unknown,3 years,Lizard Mix,Black/Yellow,1100
A459161,2006-01-27,Dugan,2015-04-19,04-2015,Return to Owner,,Dog,Neutered Male,9 years,Shih Tzu Mix,Black/White,3369
A699787,2013-10-02,*Mike,2015-04-20,04-2015,Transfer,Partner,Dog,Neutered Male,1 year,Shih Tzu,White/Gray,565
A694349,2013-12-26,*Jersey,2015-04-22,04-2015,Transfer,Partner,Other,Unknown,1 year,Rabbit Sh Mix,White/Black,482
A700569,2014-04-16,*Willie,2015-04-24,04-2015,Adoption,,Dog,Neutered Male,1 year,Pembroke Welsh Corgi/Dachshund,Black/White,373
A701177,2015-02-03,Unknown,2015-04-28,04-2015,Transfer,Partner,Dog,Intact Female,2 months,Labrador Retriever Mix,Tan,84
A700980,2015-02-11,*Cassie,2015-04-28,04-2015,Transfer,Partner,Dog,Spayed Female,2 months,Carolina Dog Mix,Tan,76
A700795,2015-01-19,Teddy,2015-04-28,04-2015,Transfer,Partner,Dog,Neutered Male,3 months,Pit Bull Mix,White/Tan,99
A700796,2014-12-19,*Rigger,2015-04-28,04-2015,Transfer,Partner,Dog,Neutered Male,4 months,Black Mouth Cur/American Staffordshire Terrier,Tan/White,130
A701542,2015-04-04,Unknown,2015-05-01,05-2015,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black,27
A697165,2015-02-18,*Zoey,2015-05-03,05-2015,Adoption,Offsite,Dog,Spayed Female,2 months,Labrador Retriever/Anatol Shepherd,White/Black,74
A701313,2007-04-27,Pancho,2015-05-05,05-2015,Return to Owner,,Dog,Neutered Male,8 years,Rottweiler Mix,Brown/Black,2930
A701255,2006-04-26,*Joshua,2015-05-07,05-2015,Transfer,Partner,Dog,Neutered Male,9 years,Shih Tzu Mix,White,3298
A701250,2013-04-26,Unknown,2015-05-11,05-2015,Transfer,Partner,Livestock,Intact Female,2 years,Pig Mix,Pink,745
A702222,2014-11-11,*Sweetcheeks,2015-05-15,05-2015,Transfer,Partner,Dog,Intact Male,6 months,Pit Bull,White,185
A695189,2014-09-10,Gunner,2015-05-15,05-2015,Transfer,Partner,Dog,Neutered Male,8 months,Border Collie/German Shepherd,Black/White,247
A702777,2014-11-17,Unknown,2015-05-17,05-2015,Transfer,Partner,Dog,Unknown,5 months,Cairn Terrier Mix,Tan,181
A702625,2015-03-24,Delilah,2015-05-20,05-2015,Transfer,Partner,Dog,Intact Female,1 month,Great Pyrenees,White,57
A701701,2014-12-03,Cooper,2015-05-21,05-2015,Transfer,Partner,Dog,Intact Male,5 months,Miniature Poodle/Cocker Spaniel,Gold,169
A703278,2013-05-22,*Stella,2015-05-26,05-2015,Transfer,Partner,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Black/White,734
A703275,2009-05-22,*Sheena,2015-05-26,05-2015,Transfer,Partner,Dog,Intact Female,6 years,Rat Terrier Mix,Tricolor,2195
A703283,2014-12-11,*Jenny,2015-05-26,05-2015,Transfer,Partner,Dog,Intact Female,5 months,Redbone Hound,Red/White,166
A702558,2013-05-15,*Rico,2015-05-26,05-2015,Transfer,Partner,Dog,Neutered Male,2 years,Border Collie/Australian Cattle Dog,White/Black,741
A702428,2012-05-13,*Sammy,2015-05-26,05-2015,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan/White,1108
A702722,2013-05-17,*Poppy,2015-05-26,05-2015,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan/White,739
A703052,2013-05-20,*Hailey,2015-05-26,05-2015,Transfer,Partner,Dog,Intact Female,2 years,Great Pyrenees Mix,White,736
A702955,2007-05-19,*Charlize,2015-05-26,05-2015,Transfer,Partner,Dog,Intact Female,8 years,Chihuahua Shorthair Mix,White/Black,2929
A702926,2014-05-19,*Minnie,2015-05-26,05-2015,Transfer,Partner,Dog,Spayed Female,1 year,Pointer Mix,White/Brown,372
A702105,2013-05-09,*Sparky,2015-05-26,05-2015,Transfer,Partner,Dog,Neutered Male,2 years,Rat Terrier Mix,White/Tan,747
A698393,2014-03-10,Avery,2015-05-26,05-2015,Transfer,Partner,Dog,Spayed Female,1 year,Chinese Sharpei Mix,Brown,442
A701772,2012-05-04,Dimond,2015-05-27,05-2015,Transfer,Partner,Dog,Spayed Female,3 years,German Shepherd Mix,Black/White,1118
A698044,2013-03-05,*Gladys,2015-05-27,05-2015,Transfer,Partner,Dog,Intact Female,2 years,Labrador Retriever Mix,Yellow,813
A654847,2006-05-26,Chico,2015-05-29,05-2015,Return to Owner,,Dog,Neutered Male,9 years,Labrador Retriever,Tan/Brown,3290
A703447,2013-05-24,*Laurel,2015-05-31,05-2015,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico,737
A701976,2012-05-07,Sapphire,2015-05-31,05-2015,Transfer,Partner,Cat,Spayed Female,3 years,Domestic Longhair Mix,Brown Tabby/White,1119
A700056,2014-04-07,*Alyssa,2015-05-31,05-2015,Transfer,Partner,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Brindle,419
A647139,2012-07-05,Tiny,2015-05-31,05-2015,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Blue Tabby,1060
A647140,2012-07-05,Lovey,2015-05-31,05-2015,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Blue Tabby,1060
A484945,2007-06-30,Johnnie,2015-05-31,05-2015,Transfer,Partner,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Black,2892
A588789,2010-07-18,Austin,2015-05-31,05-2015,Transfer,Partner,Dog,Neutered Male,4 years,Border Collie Mix,Chocolate/White,1778
A590362,2010-10-08,Texas,2015-05-31,05-2015,Transfer,Partner,Dog,Neutered Male,4 years,Labrador Retriever/Australian Shepherd,Blue Tick/Black,1696
A658800,2013-07-04,Houdini,2015-05-31,05-2015,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Blue/White,696
A704586,2015-04-06,*Simon,2015-06-13,06-2015,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black,68
A704589,2015-04-06,*Sylvester,2015-06-13,06-2015,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black,68
A705626,2015-04-19,Unknown,2015-06-19,06-2015,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black,61
A705627,2015-04-19,Unknown,2015-06-19,06-2015,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black,61
A705628,2015-04-19,Unknown,2015-06-19,06-2015,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black,61
A705629,2015-04-19,Unknown,2015-06-19,06-2015,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black,61
A705630,2015-04-19,Unknown,2015-06-19,06-2015,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black,61
A705631,2015-04-19,Unknown,2015-06-19,06-2015,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black,61
A705632,2015-04-19,Unknown,2015-06-19,06-2015,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black,61
A705633,2015-04-19,Unknown,2015-06-19,06-2015,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black,61
A705636,2014-11-19,Packard,2015-06-19,06-2015,Transfer,Partner,Dog,Unknown,6 months,Boxer Mix,Black,212
A705637,2014-11-19,Ford,2015-06-19,06-2015,Transfer,Partner,Dog,Unknown,6 months,Boxer Mix,White,212
A705624,2015-04-19,Unknown,2015-06-19,06-2015,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black,61
A705294,2011-06-15,Unknown,2015-06-20,06-2015,Transfer,Partner,Dog,Intact Female,4 years,Chihuahua Longhair Mix,Red,1466
A705296,2015-04-15,Unknown,2015-06-20,06-2015,Transfer,Partner,Dog,Intact Male,2 months,Chihuahua Longhair Mix,Black,66
A705204,2015-03-30,*Dinah,2015-06-20,06-2015,Adoption,Offsite,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,82
A705241,2014-12-15,*Flower,2015-06-20,06-2015,Transfer,Partner,Dog,Intact Female,6 months,Australian Cattle Dog Mix,Red,187
A704984,2015-01-11,*Daisy,2015-06-20,06-2015,Transfer,Partner,Dog,Spayed Female,5 months,Boxer Mix,Brown/White,160
A705064,2015-02-12,*Spoon,2015-06-20,06-2015,Transfer,Partner,Dog,Spayed Female,4 months,Australian Kelpie Mix,Tricolor,128
A704739,2015-04-20,Ladybird,2015-06-20,06-2015,Transfer,Partner,Dog,Spayed Female,1 month,Labrador Retriever Mix,Black/White,61
A704735,2015-01-24,*Topper,2015-06-20,06-2015,Transfer,Partner,Dog,Intact Male,4 months,Labrador Retriever/German Shepherd,Brown,147
A704565,2015-03-21,*Boudreau,2015-06-20,06-2015,Transfer,Partner,Dog,Intact Male,2 months,Pit Bull Mix,Brown,91
A704566,2014-10-06,*Soda Pop,2015-06-20,06-2015,Transfer,Partner,Dog,Intact Female,8 months,Beagle Mix,Black/White,257
A694130,2014-09-20,Snoopy,2015-06-20,06-2015,Transfer,Partner,Dog,Intact Male,8 months,Chihuahua Longhair Mix,Black/Brown,273
A703854,2013-05-29,Unknown,2015-06-22,06-2015,Transfer,Partner,Bird,Unknown,2 years,Parakeet,Green/Blue,754
A703855,2013-05-29,Unknown,2015-06-22,06-2015,Transfer,Partner,Bird,Unknown,2 years,Parakeet,Green/Blue,754
A706038,2015-04-09,Unknown,2015-06-24,06-2015,Transfer,Partner,Dog,Intact Male,2 months,Great Pyrenees Mix,White,76
A705937,2015-05-01,Unknown,2015-06-26,06-2015,Adoption,,Dog,Neutered Male,1 month,Chihuahua Shorthair Mix,Black,56
A705441,2012-06-17,Unknown,2015-06-30,06-2015,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Black/Tan,1108
A704518,2013-12-05,*Daisy,2015-06-30,06-2015,Transfer,Partner,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan,572
A706507,2015-06-25,Unknown,2015-06-30,06-2015,Died,In Kennel,Cat,Unknown,5 days,Domestic Shorthair Mix,Black,5
A703670,2015-04-20,Unknown,2015-07-02,07-2015,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,73
A704031,2015-03-31,*Daquiri,2015-07-02,07-2015,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,White/Black,93
A703893,2015-04-26,*Jesse Moon,2015-07-02,07-2015,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,67
A704353,2015-04-03,*Hugo,2015-07-02,07-2015,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black,90
A704326,2015-04-28,Oj,2015-07-02,07-2015,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,65
A705615,2015-04-19,*Vivian,2015-07-02,07-2015,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Blue Tabby,74
A705049,2015-04-05,*Fancy,2015-07-02,07-2015,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,88
A705050,2015-04-05,*Fallon,2015-07-02,07-2015,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,88
A704472,2015-03-20,*Tiger,2015-07-02,07-2015,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby,104
A704464,2015-03-20,*Marmalade,2015-07-02,07-2015,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby,104
A700751,2015-04-04,*Gypsy,2015-07-02,07-2015,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,89
A702992,2015-04-04,*Cloud,2015-07-02,07-2015,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby,89
A702989,2015-04-04,*Star,2015-07-02,07-2015,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby,89
A706562,2015-03-15,Dawn,2015-07-02,07-2015,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black,109
A706564,2015-03-15,Nicky,2015-07-02,07-2015,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,109
A706565,2015-03-15,Ducky,2015-07-02,07-2015,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,109
A706294,2015-04-27,*Lissa,2015-07-02,07-2015,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby,66
A706295,2015-04-27,*Marty,2015-07-02,07-2015,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,66
A706296,2015-04-27,*Mica,2015-07-02,07-2015,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Medium Hair,Orange Tabby,66
A706156,2015-04-25,*Holmes,2015-07-02,07-2015,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,68
A706135,2015-04-03,*Pete,2015-07-02,07-2015,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black/White,90
A705818,2015-04-07,*Cher,2015-07-02,07-2015,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Longhair Mix,Blue Tabby,86
A706868,2015-06-04,Unknown,2015-07-04,07-2015,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby,30
A706869,2015-06-04,Unknown,2015-07-04,07-2015,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby,30
A706871,2015-06-04,Unknown,2015-07-04,07-2015,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico,30
A706304,2015-04-27,*Mike,2015-07-06,07-2015,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby,70
A707172,2015-05-09,Unknown,2015-07-09,07-2015,Transfer,Partner,Dog,Intact Male,1 month,Australian Cattle Dog Mix,Blue Merle,61
A707288,2013-07-11,Texas,2015-07-11,07-2015,Return to Owner,,Dog,Neutered Male,2 years,Harrier Mix,Black/Tricolor,730
A707633,2015-01-15,Cookie Monst,2015-07-19,07-2015,Transfer,Partner,Dog,Spayed Female,6 months,Bruss Griffon Mix,Orange/Tan,185
A707641,2007-01-15,Coco Chanel,2015-07-21,07-2015,Transfer,Partner,Dog,Intact Female,8 years,Dachshund,Red,3109
A707046,2012-07-07,Jameson,2015-07-22,07-2015,Transfer,Partner,Dog,Neutered Male,3 years,Siberian Husky Mix,White/White,1110
A702755,2015-05-10,Oscar,2015-07-26,07-2015,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,77
A707958,2014-07-20,*Stitch,2015-07-29,07-2015,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan,374
A708038,2014-03-21,Archie,2015-08-01,08-2015,Return to Owner,,Dog,Neutered Male,1 year,Black Mouth Cur Mix,Tan/Tan,498
A708471,2015-05-13,Peanut,2015-08-01,08-2015,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby,80
A704994,2015-05-17,Rajah,2015-08-01,08-2015,Adoption,,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,76
A708845,2008-08-01,Flash,2015-08-03,08-2015,Return to Owner,,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Black/White,2558
A708683,2015-04-28,Birdie,2015-08-03,08-2015,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Cream Tabby,97
A708684,2015-04-28,Bobbie,2015-08-03,08-2015,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Cream Tabby/White,97
A708667,2009-07-30,Phantom,2015-08-03,08-2015,Adoption,,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Black,2195
A708422,2015-03-27,*Giblets,2015-08-03,08-2015,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby,129
A708423,2015-03-27,*Gilbert,2015-08-03,08-2015,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby,129
A708113,2015-03-23,Dinker,2015-08-03,08-2015,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Medium Hair Mix,Brown Tabby,133
A707571,2013-07-14,*Mason,2015-08-03,08-2015,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Longhair Mix,Brown Tabby/White,750
A704423,2012-06-04,Max,2015-08-03,08-2015,Transfer,Partner,Dog,Neutered Male,3 years,Border Collie Mix,Black/White,1155
A709067,2015-02-04,Earlene,2015-08-05,08-2015,Return to Owner,,Dog,Intact Female,5 months,Boxer Mix,Black/White,182
A702654,2015-03-08,*Amber,2015-08-11,08-2015,Transfer,Partner,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Tortie,156
A702655,2015-04-07,*Mica,2015-08-11,08-2015,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White,126
A704952,2015-05-11,*Tommy,2015-08-11,08-2015,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Brown Tabby,92
A705613,2015-04-19,*Giovanni,2015-08-11,08-2015,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Longhair Mix,Blue Tabby,114
A709161,2014-08-05,*Mitzi,2015-08-11,08-2015,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,371
A709162,2015-07-17,Unknown,2015-08-11,08-2015,Transfer,Partner,Cat,Intact Male,3 weeks,Siamese,Lilac Point,25
A709163,2015-07-17,Unknown,2015-08-11,08-2015,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Black,25
A709165,2015-07-17,Unknown,2015-08-11,08-2015,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby,25
